GSE_ids,substrates
GSE113404,carbon
GSE113404,xylose
GSE123159,glucose
GSE123445,glucose
GSE123446,glucose
GSE129967,glucose
GSE133464,glucose
GSE133491,glucose
GSE135817,glucose
GSE135818,glucose
GSE152682,glucose
GSE156537,glucose
GSE16617,glucose
GSE19430,glucose
GSE19682,glucose
GSE21297,glucose
GSE22052,carbon
GSE22052,glucose
GSE26925,glucose
GSE27428,glucose
GSE30384,carbon
GSE30384,glucose
GSE30579,glucose
GSE35604,glucose
GSE46559,glucose
GSE55086,avicel
GSE55086,carbon
GSE55086,cellulose
GSE55663,glucose
GSE55743,glucose
GSE55943,carbon
GSE55943,glucose
GSE61974,glucose
GSE69723,glucose
GSE75412,glucose
GSE77969,glucose
GSE81956,glucose
GSE95798,avicel
GSE95798,carbon
GSE95798,cellulose
GSE95798,glucose
GSE97495,glucose
GSE97539,carbon
GSE97539,glucose
