GSE_id,substrate
GSE10983,glucose
GSE11725,glucose
GSE11930,carbon
GSE11930,glucose
GSE11930,xylose
GSE12859,carbon
GSE12859,glucose
GSE12859,xylose
GSE13868,carbon
GSE13868,glucose
GSE13868,xylose
GSE15702,glucose
GSE18851,avicel
GSE18851,cellulose
GSE18851,glucose
GSE19952,carbon
GSE19952,glucose
GSE21015,carbon
GSE21015,glucose
GSE22566,carbon
GSE22566,glucose
GSE27484,glucose
GSE31046,glucose
GSE33542,avicel
GSE33542,cellulose
GSE40590,carbon
GSE41612,glucose
GSE43280,glucose
GSE48864,carbon
GSE48864,glucose
GSE57629,glucose
GSE61981,glucose
GSE76534,carbon
GSE76534,glucose
GSE9275,glucose
GSE9275,xylose
GSE9276,glucose
GSE9276,xylose
GSE9277,glucose
GSE9277,xylose
GSE9298,glucose
GSE9298,xylose
