GSE_id,substrate
GSE112580,glucose
GSE116274,glucose
GSE116741,glucose
GSE120933,glucose
GSE125225,glucose
GSE135014,glucose
GSE138291,glucose
GSE13977,avicel
GSE13977,cellulose
GSE141822,avicel
GSE141822,cellulose
GSE144526,glucose
GSE14637,glucose
GSE151210,glucose
GSE154134,glucose
GSE162838,avicel
GSE162838,cellulose
GSE175908,carbon
GSE181592,avicel
GSE181592,cellulose
GSE195841,glucose
GSE2169,glucose
GSE48207,glucose
GSE50481,glucose
GSE51192,avicel
GSE51192,cellulose
GSE52586,glucose
GSE5684,glucose
GSE57586,avicel
GSE57586,cellulose
GSE57587,avicel
GSE57587,cellulose
GSE63021,avicel
GSE63021,cellulose
GSE65969,glucose
GSE66289,glucose
GSE66290,glucose
GSE66300,glucose
GSE73006,glucose
GSE79679,avicel
GSE79679,cellulose
GSE79961,glucose
GSE83282,glucose
GSE88985,carbon
GSE95738,avicel
GSE95738,cellulose
