GSE_id,substrate
GSE119735,glucose
GSE125199,avicel
GSE125199,cellulose
GSE125199,glucose
GSE125200,avicel
GSE125200,cellulose
GSE125200,glucose
GSE13977,avicel
GSE13977,cellulose
GSE14734,avicel
GSE14734,cellulose
GSE14734,glucose
GSE14735,avicel
GSE14735,carbon
GSE14735,cellulose
GSE14736,avicel
GSE14736,carbon
GSE14736,cellulose
GSE14736,glucose
GSE27941,carbon
GSE54542,glucose
GSE6649,avicel
GSE6649,cellulose
GSE6649,glucose
GSE69008,avicel
GSE69008,cellulose
GSE69008,glucose
GSE69012,avicel
GSE69012,cellulose
GSE69012,glucose
GSE69461,avicel
GSE69461,carbon
GSE69461,cellulose
