GSE_id,substrate
GSE110062,avicel
GSE110062,carbon
GSE110062,cellulose
GSE110062,glucose
GSE111986,avicel
GSE111986,carbon
GSE111986,cellulose
GSE111986,glucose
GSE114057,avicel
GSE114057,carbon
GSE114057,cellulose
GSE114057,glucose
GSE137286,avicel
GSE137286,carbon
GSE137286,cellulose
GSE137286,glucose
GSE137286,xylose
GSE165516,carbon
GSE165516,glucose
GSE183387,avicel
GSE183387,carbon
GSE183387,cellulose
GSE183387,glucose
GSE27323,avicel
GSE27323,carbon
GSE27323,cellulose
GSE27323,glucose
GSE57235,carbon
