GSE_id,substrate
GSE125225,glucose
GSE19832,avicel
GSE19832,cellulose
GSE19832,glucose
GSE20516,avicel
GSE20516,cellulose
GSE21072,avicel
GSE21072,carbon
GSE21072,cellulose
GSE21072,glucose
GSE23438,avicel
GSE23438,cellulose
GSE23438,glucose
GSE24630,avicel
GSE24630,cellulose
GSE27581,avicel
GSE27581,carbon
GSE27581,cellulose
GSE29171,glucose
GSE32871,avicel
GSE32871,carbon
GSE32871,cellulose
GSE36448,avicel
GSE36448,carbon
GSE36448,cellulose
GSE39111,avicel
GSE39111,cellulose
GSE41965,glucose
GSE42359,glucose
GSE53629,avicel
GSE53629,carbon
GSE53629,cellulose
GSE53629,glucose
GSE59350,glucose
GSE66835,avicel
GSE66835,cellulose
GSE66982,avicel
GSE66982,carbon
GSE66982,cellulose
GSE66982,glucose
