author,pubmed_id
A A Korzhenkov,33204772
A A Kulminskaya,30482151
A A Malik,35108096
A Abouelleil,28348446
A Amtmann,11457957
A Annamalai,32128282
A B Chase,35108096
A Bernardes,32264249
A Busch,29774620
A C Freelove,11560933
A C Martiny,35108096
A C McHardy,29490697
A D Norbeck,29490697
A D Satrutdinov,27297903
A E Naas,29490697
A Ferraz,9170255
A G Bulakhov,27297903
A G Craig,8426366
A G Hoffman,721920
A Gladki,28348446
A Gorbushina,28348446
A Goyal,24460941
A Hazenberg,26018923
A J McGettrick,10942427
A Jalila Simaan,31903721
A Jalila Simaan,35549254
A Jalila Simaan,28060494
A K M Abdul Baten,32217134
A Karantonis,30032096
A Karnaouri,30032096
A Khelif,15244795
A Khelif,17672629
A Kuksis,721920
A L N Silva,34133573
A L Schroeder,20416594
A Louise Creagh,31420336
A Mäntylä,15650852
A Muszewska,28348446
A P Sinitsyn,27297903
A R Lax,22243654
A S Luís,24460941
A S Meyer,28403817
A Sha Arun,28050853
A Sha Arun,28284522
A Stefanovic,11457957
A T Kopylov,30482151
A T R Vasconcelos,28348446
A Tsang,30487660
A V Chekushina,27297903
A V Gusakov,27297903
A V Koshelev,27297903
A Várnai,33292403
A Wiebenga,30487660
A Willis,10942427
Aabid Manzoor Shah,34682256
Aaron D Smith,31932719
Aaron S Adams,24837391
Aaron S Adams,21368904
Aaron T Wright,28555641
Aaron Weimann,28417375
Abd El-Fatah Abomohra,28458176
Abdelkrim Choujaa,18233776
Abdelkrim Khelif,15128223
Abdelkrim Khelif,15478977
Abdelkrim Khelif,15903605
Abdelkrim Khelif,18233776
Abdessamad El Kaoutari,23748339
Abdessamad El Kaoutari,24391873
Abdessamad El Kaoutari,28473812
Abdul Latif Khan,35205861
Abdullah Al-Amri,22538316
Abdullah D Altalhi,19284165
Abdullah F Alasmari,35329417
Abdulrahman Alshammari,35329417
Abdulrahman H A Alessa,31231605
Abebayheu Aticho,33711736
Abebe Nigussie,33711736
Abhijeet Roy,32128282
Abhijeet Roy,35470778
Abhijeet Thakur,31435842
Abhinav Kaushik,35401459
Abhinav Sharma,25745563
Abhinay Ramaprasad,35401459
Abhishek A Kognole,29660793
Abhishek A Kognole,26178376
Abraham Morales-Cruz,25232357
Abraham Morales-Cruz,27608421
Abraham Morales-Cruz,33815343
Ad Wiebenga,25173823
Ad Wiebenga,31726994
Ad Wiebenga,32107379
Adam A Dowle,29472725
Adam A Dowle,34724941
Adam A Dowle,33597033
Adam A Dowle,31719844
Adam A Dowle,33903229
Adam A Dowle,31675221
Adam J Book,25161697
Adam J Book,24837391
Adam J Book,23301151
Adam Lodge,29229757
Adeel Malik,33022985
Adeel Malik,33652876
Adèle Lazuka,27552843
Adina R Bujold,35551185
Adiphol Dilokpimol,28216099
Adiphol Dilokpimol,32408196
Aditi Rai,33813595
